NAME,TEAM,ORPM,DRPM,RPM,WINS,Season,SEASON_ID,PLAYER_ID
Ed Davis,POR,-1.08,1.22,0.14,2.82,16,22016,209.0
James Jones,CLE,-0.47,0.56,0.08,0.75,16,22016,717.0
Duje Dukan,SAC,0.32,-0.24,0.08,0.04,16,22016,1103.0
Zach Randolph,MEM,-0.88,0.96,0.08,3.19,16,22016,94.0
Isaiah Canaan,PHI,0.29,-0.27,0.02,3.24,16,22016,572.0
Markieff Morris,PHX/WSH,-0.79,0.81,0.02,2.71,16,22016,316.0
Aaron Gordon,ORL,0.36,-0.34,0.02,3.02,16,22016,212.0
Metta World Peace,LAL,-2.91,2.92,0.02,0.91,16,22016,604.0
Enes Freedom,OKC,1.8,-1.78,0.02,2.79,16,22016,591.0
Norman Powell,TOR,-0.06,0.07,0.01,1.11,16,22016,286.0
Lou Williams,LAL,2.26,-2.26,0.0,3.05,16,22016,81.0
Wesley Matthews,DAL,-0.25,0.24,-0.01,4.12,16,22016,64.0
Kenneth Faried,DEN,1.3,-1.31,-0.01,2.7,16,22016,303.0
Nikola Mirotic,CHI,1.08,-1.11,-0.04,2.62,16,22016,132.0
Steve Novak,OKC/MIL,0.11,-0.16,-0.05,0.08,16,22016,598.0
Donatas Motiejunas,HOU,-0.45,0.38,-0.07,0.86,16,22016,350.0
Jerryd Bayless,MIL,-0.6,0.53,-0.07,2.28,16,22016,483.0
Jordan Hamilton,NO,0.97,-1.04,-0.07,0.47,16,22016,636.0
Charlie Villanueva,DAL,0.52,-0.59,-0.07,1.03,16,22016,1115.0
Chase Budinger,IND/PHX,0.14,-0.22,-0.08,1.46,16,22016,596.0
Courtney Lee,MEM/CHA,-1.39,1.31,-0.09,3.48,16,22016,231.0
Monta Ellis,IND,0.01,-0.13,-0.11,4.3,16,22016,133.0
Joe Ingles,UTAH,-0.98,0.86,-0.11,1.83,16,22016,79.0
Ben McLemore,SAC,0.55,-0.66,-0.12,2.32,16,22016,308.0
Al Jefferson,CHA,-1.54,1.42,-0.12,1.63,16,22016,166.0
Luol Deng,MIA,0.0,-0.15,-0.14,3.53,16,22016,147.0
Iman Shumpert,CLE,-2.1,1.95,-0.15,1.91,16,22016,280.0
